vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-0041,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0042,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0043,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0044,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0045,False,NONE,LOW,,No notable anomaly detected.
VND-0046,False,NONE,LOW,,No notable anomaly detected.
VND-0047,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0048,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0049,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0050,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0051,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0052,False,NONE,LOW,,No notable anomaly detected.
VND-0053,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0054,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0055,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0056,False,NONE,LOW,,No notable anomaly detected.
VND-0057,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0058,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0059,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0060,False,NONE,LOW,,No notable anomaly detected.
VND-0061,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0062,False,NONE,LOW,,No notable anomaly detected.
VND-0063,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0064,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0065,False,NONE,LOW,,No notable anomaly detected.
VND-0066,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0067,False,NONE,LOW,,No notable anomaly detected.
VND-0068,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0069,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0070,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0071,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0072,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0073,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0074,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Vendor experienced a breach and still has access to highly sensitive customer data.
VND-0075,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0076,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0077,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Vendor experienced a breach and still has access to highly sensitive customer data.
VND-0078,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0079,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0080,False,NONE,LOW,,No notable anomaly detected.
VND-0081,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0082,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0083,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0084,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0085,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0086,True,EXPIRED_CERTIFICATION,MEDIUM,"SOC2,ISO27001",Critical certification has expired and needs immediate renewal.
VND-0087,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0088,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0089,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0090,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0091,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0092,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0093,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0094,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0095,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0096,False,NONE,LOW,,No notable anomaly detected.
VND-0097,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0098,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0099,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0100,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Vendor experienced a breach and still has access to highly sensitive customer data.
VND-0101,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0102,False,NONE,LOW,,No notable anomaly detected.
VND-0103,False,NONE,LOW,,No notable anomaly detected.
VND-0104,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0105,False,NONE,LOW,,No notable anomaly detected.
VND-0106,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0107,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0108,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0109,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0110,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0111,False,NONE,LOW,,No notable anomaly detected.
VND-0112,True,EXPIRED_CERTIFICATION,MEDIUM,"SOC2,ISO27001","Vendor holds expired compliance certifications, increasing risk exposure."
VND-0113,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0114,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0115,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0116,False,NONE,LOW,,No notable anomaly detected.
VND-0117,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0118,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0119,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0120,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0121,False,NONE,LOW,,No notable anomaly detected.
VND-0122,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0123,False,NONE,LOW,,No notable anomaly detected.
VND-0124,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0125,False,NONE,LOW,,No notable anomaly detected.
VND-0126,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0127,False,NONE,LOW,,No notable anomaly detected.
VND-0128,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0129,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0130,False,NONE,LOW,,No notable anomaly detected.
VND-0131,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0132,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0133,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0134,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0135,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0136,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0137,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0138,False,NONE,LOW,,No notable anomaly detected.
VND-0139,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0140,False,NONE,LOW,,No notable anomaly detected.
VND-0141,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0142,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0143,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0144,True,EXPIRED_CERTIFICATION,HIGH,"SOC2,ISO27001","Vendor holds expired compliance certifications, increasing risk exposure."
VND-0145,False,NONE,LOW,,No notable anomaly detected.
VND-0146,False,NONE,LOW,,No notable anomaly detected.
VND-0147,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0148,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0149,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0150,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0151,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0152,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0153,False,NONE,LOW,,No notable anomaly detected.
VND-0154,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0155,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0156,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0157,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0158,False,NONE,LOW,,No notable anomaly detected.
VND-0159,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0160,False,NONE,LOW,,No notable anomaly detected.
VND-0161,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0162,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0163,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0164,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0165,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0166,False,NONE,LOW,,No notable anomaly detected.
VND-0167,False,NONE,LOW,,No notable anomaly detected.
VND-0168,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0169,False,NONE,LOW,,No notable anomaly detected.
VND-0170,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0171,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0172,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breach occurred in the last year and vendor still retains access.
VND-0173,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0174,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0175,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0176,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0177,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0178,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0179,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0180,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0181,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0182,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0183,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0184,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0185,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0186,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0187,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0188,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Vendor reported a recent breach and is still integrated with systems.
VND-0189,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0190,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0191,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0192,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0193,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0194,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0195,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0196,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0197,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0198,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0199,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0200,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0201,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0202,False,NONE,LOW,,No notable anomaly detected.
VND-0203,True,EXPIRED_CERTIFICATION,HIGH,"SOC2,ISO27001","Vendor holds expired compliance certifications, increasing risk exposure."
VND-0204,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0205,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0206,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0207,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breach occurred in the last year and vendor still retains access.
VND-0208,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0209,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0210,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0211,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0212,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0213,False,NONE,LOW,,No notable anomaly detected.
VND-0214,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0215,True,EXPIRED_CERTIFICATION,HIGH,SOC2,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0216,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0217,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0218,False,NONE,LOW,,No notable anomaly detected.
VND-0219,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0220,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0221,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach incident occurred while vendor maintained high-risk data access.
VND-0222,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0223,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0224,False,NONE,LOW,,No notable anomaly detected.
VND-0225,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0226,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0227,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0228,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0229,True,ELEVATED_RISK_VENDOR,LOW,,Risk score indicates elevated risk that should be monitored.
VND-0230,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0231,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0232,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0233,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0234,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
VND-0235,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breach occurred in the last year and vendor still retains access.
VND-0236,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0237,False,NONE,LOW,,No notable anomaly detected.
VND-0238,False,NONE,LOW,,No notable anomaly detected.
VND-0239,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0240,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0241,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0242,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0243,False,NONE,LOW,,No notable anomaly detected.
VND-0244,False,NONE,LOW,,No notable anomaly detected.
VND-0245,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0246,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0247,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Pending investigation due to recent operational concerns.
VND-0248,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0249,True,HIGH_RISK_SCORE,HIGH,,Risk score exceeds 80 due to weak controls and missing certifications.
VND-0250,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0251,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breach occurred in the last year and vendor still retains access.
VND-0252,False,NONE,LOW,,No notable anomaly detected.
VND-0253,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0254,True,ELEVATED_RISK_VENDOR,LOW,,Vendor shows moderate risk but not critical yet.
VND-0255,False,NONE,LOW,,No notable anomaly detected.
VND-0256,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0257,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0258,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Critical certification has expired and needs immediate renewal.
VND-0259,False,NONE,LOW,,No notable anomaly detected.
VND-0260,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0261,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0262,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Critical certification has expired and needs immediate renewal.
VND-0263,False,NONE,LOW,,No notable anomaly detected.
VND-0264,False,NONE,LOW,,No notable anomaly detected.
VND-0265,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Vendor access remains active after contract end date.
VND-0266,False,NONE,LOW,,No notable anomaly detected.
VND-0267,False,NONE,LOW,,No notable anomaly detected.
VND-0268,True,HIGH_RISK_SCORE,HIGH,,High overall risk score driven by certifications gaps and security findings.
VND-0269,False,NONE,LOW,,No notable anomaly detected.
VND-0270,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Vendor experienced a breach and still has access to highly sensitive customer data.
VND-0271,False,NONE,LOW,,No notable anomaly detected.
VND-0272,False,NONE,LOW,,No notable anomaly detected.
VND-0273,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor currently under investigation for compliance gaps.
VND-0274,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Critical certification has expired and needs immediate renewal.
VND-0275,False,NONE,LOW,,No notable anomaly detected.
VND-0276,True,CONTRACT_EXPIRED_ACTIVE_ACCESS,MEDIUM,,Contract expired while vendor still has active access to systems.
VND-0277,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,"Vendor holds expired compliance certifications, increasing risk exposure."
